pf1,pf2,overlap_nuc,within_pareto,zscore_dist,seconds
PF00004,PF00011,55,1,-1.7595020361880538,30.765165328979492
PF00004,PF00011,58,1,-1.7027500276857022,31.121058702468872
PF00004,PF00011,61,1,-1.831026302849522,31.00032687187195
PF00004,PF00011,64,1,-1.7589518287735875,30.868096828460693
PF00004,PF00011,67,1,-1.7837944577828624,30.85938572883606
PF00004,PF00011,70,1,-1.4514801803055957,30.453980207443237
PF00004,PF00011,73,1,-1.5592579314670891,30.896034240722656
PF00004,PF00011,76,1,-1.4910384173232274,30.735230445861816
PF00004,PF00011,79,1,-1.6612476349838992,31.24523901939392
PF00004,PF00011,82,1,-1.6220755902667634,30.92856526374817
PF00004,PF00011,85,1,-1.3860775903536249,31.102606534957886
PF00004,PF00011,88,1,-1.3735159341249157,30.911317110061646
PF00004,PF00011,91,1,-1.4167382464081215,31.07591962814331
PF00004,PF00011,94,1,-1.3975811975433923,30.969690322875977
PF00004,PF00011,97,1,-1.3196117463628174,31.259251356124878
PF00004,PF00011,100,1,-1.2601463529218104,31.388472080230713
PF00004,PF00011,103,1,-1.4166146748617248,31.320287942886353
PF00004,PF00011,106,1,-1.3219220280865323,31.129478693008423
PF00004,PF00011,109,1,-1.2724029624665019,31.251326084136963
PF00004,PF00011,112,1,-1.3894380110964044,31.183175325393677
PF00004,PF00011,115,1,-1.2098950916902358,31.522892951965332
PF00004,PF00011,118,1,-1.240971396319778,31.8100643157959
PF00004,PF00011,121,1,-1.2039316521666712,31.768260717391968
PF00004,PF00011,124,1,-1.1448761819106044,31.650492906570435
PF00004,PF00011,127,1,-1.1556732544894435,32.06896615028381
PF00004,PF00011,130,1,-1.2109191793757863,31.786134004592896
PF00004,PF00011,133,1,-0.9497929259040193,32.324907064437866
PF00004,PF00011,136,1,-0.8505460210772445,32.28339147567749
PF00004,PF00011,139,1,-1.1816759772243253,31.958744287490845
PF00004,PF00011,142,1,-0.5680956238333276,32.317991733551025
PF00004,PF00011,145,1,-0.9549298964259159,32.14511227607727
PF00004,PF00011,148,1,-1.1377341132900949,32.424039363861084
PF00004,PF00011,151,1,-0.7361425386793354,32.416991233825684
PF00004,PF00011,154,1,-0.9529879049266355,32.556782484054565
PF00004,PF00011,157,1,-0.8798939342146339,32.41876196861267
PF00004,PF00011,160,1,-0.7181744329051255,32.590779066085815
PF00004,PF00011,163,1,-0.8051858459835394,32.44196081161499
PF00004,PF00011,166,1,-0.5678045467774158,33.00009059906006
PF00004,PF00011,169,1,-0.5747973373488666,33.18920564651489
PF00004,PF00011,172,1,-0.618364253205597,33.40391945838928
PF00004,PF00011,175,1,-0.5719252320578739,33.27244782447815
PF00004,PF00011,178,1,-0.6466255905970564,33.35725259780884
PF00004,PF00011,181,1,-0.6098903422888159,33.427958488464355
PF00004,PF00011,184,1,-0.661347292191975,33.63403105735779
PF00004,PF00011,187,1,-0.6375134366345424,33.7243013381958
PF00004,PF00011,190,1,-0.4496375819871475,33.63591980934143
PF00004,PF00011,193,1,-0.5894639115566761,33.96260404586792
PF00004,PF00011,196,1,-0.45451576657819764,33.93216586112976
PF00004,PF00011,199,0,0.02834777385753181,34.30672359466553
PF00004,PF00011,202,1,-0.387993196571442,33.76498222351074
PF00004,PF00011,205,1,-0.3121712537004433,34.50900840759277
PF00004,PF00011,208,1,-0.25509043683841776,34.390090465545654
PF00004,PF00011,211,1,-0.28479838553714804,34.25067448616028
PF00004,PF00011,214,1,-0.26927564836611534,34.52430057525635
PF00004,PF00011,217,1,-0.48608918422169,34.677839517593384
PF00004,PF00011,220,1,-0.37590541483698275,34.48045897483826
PF00004,PF00011,223,1,-0.20404565514402262,34.53674602508545
PF00004,PF00011,226,1,-0.07432015960269404,34.936039686203
PF00004,PF00011,229,0,0.20408075216741323,35.27105951309204
PF00004,PF00011,232,0,0.12732166526037417,34.873307943344116
PF00004,PF00011,235,0,0.1448608805933485,34.819735527038574
PF00004,PF00011,238,1,-0.34361482547335565,34.8208167552948
PF00004,PF00011,14,1,-2.2095987613436456,37.33443808555603
PF00004,PF00011,17,1,-2.1995000339224116,29.647035837173462
PF00004,PF00011,20,1,-1.8761557381864116,29.590501308441162
PF00004,PF00011,23,1,-2.1648544796120306,30.043794870376587
PF00004,PF00011,26,1,-2.262914263517263,29.823882818222046
PF00004,PF00011,29,1,-1.8257322001983416,29.77104663848877
PF00004,PF00011,32,1,-2.062719541321675,30.068304300308228
PF00004,PF00011,35,1,-2.116378289606764,30.36906862258911
PF00004,PF00011,38,1,-1.871590468017199,30.367308139801025
PF00004,PF00011,41,1,-1.8802228333460342,30.232833862304688
PF00004,PF00011,44,1,-2.281698730799137,30.46762490272522
PF00004,PF00011,47,1,-1.7504800068912825,30.392325162887573
PF00004,PF00011,50,1,-1.8307922291418142,30.269184350967407
PF00004,PF00011,53,1,-1.7293624573101714,30.54526972770691
PF00004,PF00011,56,1,-1.8263709098977587,30.421196460723877
PF00004,PF00011,59,1,-1.7443509827486365,30.799439430236816
PF00004,PF00011,62,1,-1.6978695495373515,30.50270938873291
PF00004,PF00011,65,1,-1.7785020776870502,30.13873553276062
PF00004,PF00011,68,1,-1.4798991452440626,30.53204655647278
PF00004,PF00011,71,1,-1.698795397756857,30.230997323989868
PF00004,PF00011,74,1,-1.7496736452393904,30.142632246017456
PF00004,PF00011,77,1,-1.7483490282779832,30.38164258003235
PF00004,PF00011,80,1,-1.8724666682736368,30.704163312911987
PF00004,PF00011,83,1,-1.7340653244367659,30.2773859500885
PF00004,PF00011,86,1,-1.7263727889151124,30.613473653793335
PF00004,PF00011,89,1,-1.5250090337742428,30.697372913360596
PF00004,PF00011,92,1,-1.489114414737098,30.790892601013184
PF00004,PF00011,95,1,-1.5836051893316718,30.774444341659546
PF00004,PF00011,98,1,-1.163909991628627,30.98290252685547
PF00004,PF00011,101,1,-1.2172887670072674,31.199992418289185
PF00004,PF00011,104,1,-1.3394814499116912,31.08173632621765
PF00004,PF00011,107,1,-1.2680692342969417,31.219816207885742
PF00004,PF00011,110,1,-1.1752911800849482,31.01743459701538
PF00004,PF00011,113,1,-1.080830447785018,31.209282159805298
PF00004,PF00011,116,1,-1.2822670337210298,31.0292809009552
PF00004,PF00011,119,1,-1.072647804246014,31.23222303390503
PF00004,PF00011,122,1,-1.141479239293789,31.372450828552246
PF00004,PF00011,125,1,-1.0824088966225052,31.487051963806152
PF00004,PF00011,128,1,-1.1183148494428081,31.4651620388031
PF00004,PF00011,131,1,-0.8993514033721325,31.659632921218872
PF00004,PF00011,134,1,-1.1981917520960612,31.999545335769653
PF00004,PF00011,137,1,-0.9455896707553477,32.34357309341431
PF00004,PF00011,140,1,-0.8405256241797954,31.715392589569092
PF00004,PF00011,143,1,-0.47271460878310273,32.30320143699646
PF00004,PF00011,146,1,-0.8615439123941474,32.073984146118164
PF00004,PF00011,149,1,-0.7822700548865541,31.749065399169922
PF00004,PF00011,152,1,-1.0628182846977183,31.67307448387146
PF00004,PF00011,155,1,-0.5429512264424127,32.2921679019928
PF00004,PF00011,158,1,-0.4133984692193813,32.1879985332489
PF00004,PF00011,161,1,-0.2060100199376385,32.16154623031616
PF00004,PF00011,164,1,-0.6633093946501276,32.11476254463196
PF00004,PF00011,167,1,-0.20413271995661605,32.76604509353638
PF00004,PF00011,170,1,-0.5514021985690285,32.73956227302551
PF00004,PF00011,173,1,-0.5799520534067589,32.694883584976196
PF00004,PF00011,176,1,-0.4115158280691439,33.04864311218262
PF00004,PF00011,179,1,-0.0970147645132812,32.97798728942871
PF00004,PF00011,182,1,-0.44544420697069576,32.75948357582092
PF00004,PF00011,185,1,-0.35221034725952666,33.08816719055176
PF00004,PF00011,188,1,-0.42670602277020636,32.987080812454224
PF00004,PF00011,191,1,-0.41661917231849765,32.87254500389099
PF00004,PF00011,194,0,0.09636639396096919,33.726253509521484
PF00004,PF00011,197,0,0.15380393279905186,33.52888369560242
PF00004,PF00011,200,1,-0.057694443425293306,33.899250984191895
PF00004,PF00011,203,1,-0.2925384977955904,33.39807391166687
PF00004,PF00011,206,1,-0.07301490041016204,33.9110324382782
PF00004,PF00011,209,1,-0.07113672416674066,33.80900549888611
PF00004,PF00011,212,0,0.04904440470245942,34.567368507385254
PF00004,PF00011,215,0,0.16823483977548098,34.30136466026306
PF00004,PF00011,218,0,0.0542756842912119,33.762043714523315
PF00004,PF00011,221,0,0.12293118478257818,33.89731812477112
PF00004,PF00011,224,1,-0.21461012998621032,34.389366149902344
PF00004,PF00011,227,0,0.2495231749731002,34.538806438446045
PF00004,PF00011,230,0,0.25215990917471764,34.513092041015625
PF00004,PF00011,233,0,0.0077985247397892535,34.68536305427551
PF00004,PF00011,236,0,0.2038548358824305,34.70435190200806
PF00004,PF00011,239,0,0.2713539436866477,35.21812558174133
PF00004,PF00013,13,1,-2.7804388120882457,33.50274634361267
PF00004,PF00013,16,1,-1.8183759400552644,26.8460853099823
PF00004,PF00013,19,1,-2.2077019764501413,26.953701972961426
PF00004,PF00013,22,1,-2.1765126265177166,27.11048173904419
PF00004,PF00013,25,1,-2.394260558460448,27.1906898021698
PF00004,PF00013,28,1,-1.7532835028877616,27.159504175186157
PF00004,PF00013,31,1,-1.9160681456322142,27.213075637817383
PF00004,PF00013,34,1,-1.8689429144676368,27.285712003707886
PF00004,PF00013,37,1,-1.8675691771544525,27.135409832000732
PF00004,PF00013,40,1,-1.716769380945453,27.321649312973022
PF00004,PF00013,43,1,-1.6133651643417057,27.406838417053223
PF00004,PF00013,46,1,-1.784029831193131,27.597700834274292
PF00004,PF00013,49,1,-1.7267365172393383,27.60331916809082
PF00004,PF00013,52,1,-1.4414658249303243,28.003222465515137
PF00004,PF00013,55,1,-1.558813922814365,27.962527990341187
PF00004,PF00013,58,1,-1.7409401946221155,27.796297073364258
PF00004,PF00013,61,1,-1.724373778122778,27.844922304153442
PF00004,PF00013,64,1,-1.44137575648577,28.16043448448181
PF00004,PF00013,67,1,-1.602645015679059,28.21895980834961
PF00004,PF00013,70,1,-1.6711676589152467,28.445796251296997
PF00004,PF00013,73,1,-1.5744507623537467,28.36144518852234
PF00004,PF00013,76,1,-1.505913450992385,28.5216224193573
PF00004,PF00013,79,1,-1.6005946585754605,28.441038608551025
PF00004,PF00013,82,1,-1.3552065835164584,28.825826406478882
PF00004,PF00013,85,1,-1.2625263185086228,28.741881370544434
PF00004,PF00013,88,1,-1.2868535857227121,28.674404621124268
PF00004,PF00013,91,1,-1.2142075730262327,28.87539315223694
PF00004,PF00013,94,1,-1.0636074098803594,29.22618842124939
PF00004,PF00013,97,1,-1.230178356418863,28.994892120361328
PF00004,PF00013,100,1,-1.1825706519509827,28.995761156082153
PF00004,PF00013,103,1,-1.3371511058810421,29.29552435874939
PF00004,PF00013,106,1,-1.0670772450503954,29.409626245498657
PF00004,PF00013,109,1,-1.2712004412840276,29.180083751678467
PF00004,PF00013,112,1,-1.2200178879871613,29.447534561157227
PF00004,PF00013,115,1,-0.9961977383146131,29.647927284240723
PF00004,PF00013,118,1,-0.8806433892972562,29.82696032524109
PF00004,PF00013,121,1,-1.0932378089796415,29.739526748657227
PF00004,PF00013,124,1,-1.0824184263417584,30.01596713066101
PF00004,PF00013,127,1,-0.8921583861447717,29.630014657974243
PF00004,PF00013,130,1,-1.0236101093574554,29.290939331054688
PF00004,PF00013,133,1,-0.9008562877718673,29.88553023338318
PF00004,PF00013,136,1,-0.9012709113004561,29.903858184814453
PF00004,PF00013,139,1,-0.22697375676576353,30.291491985321045
